about | [ə'baʊt] |prep. 关于 adv. 大约
afraid | [ə'freɪd] | adj. 害怕的
after | ['ɑːftəʳ] |prep. 在...之后 adv. 后来，以后
afternoon | [ˌɑːftə'nuːn] |n. 下午
again | ['əɡen] |adv. 再次，又一次
all | [ɔːl] |pron. 全部 adj. 全部的
also | ['ɔːlsəʊ] |adv. 而且
amazing | [ə'meɪzɪŋ] |adj. 惊人的，令人吃惊的
an | [ən] |det. 一个
and | [ænd] |conj. 和，及，与
angry | ['æŋɡrɪ] |adj. 生气的，发怒的
animal | ['ænɪm(ə)l] |n. 动物；四足动物
answer | ['ɑːnsəʳ] |n. 1.回答；答复 2.答案
ant | [ænt] |n. 蚂蚁
any | ['enɪ] |adj. 任何的
apple | ['æpl] |n. 苹果
are | [ər,ɑːʳ] |v. 是（be 的第二人称单复数现在式）
arm | [ɑːm] |n. 1.手臂 2.(椅子的)扶手；臂状物
around | [ə'raʊnd] |adv. 1.向四周，在周围 2.在附近
ask | [ɑːsk] |vt. 1.问 2.请求
at | [ət,æt] |prep. 在…里；在…上
autumn | ['ɔːtəm] |n. 秋天
baa | [bɑː] |vi. 咩咩地叫(羊等动物)
back | [bæk] |n. 1.背；背部 2.后面
bad | [bæd] |adj. 坏的，不好的
bag | [bæɡ] |n. 包，袋子
ball | [bɔːl] |n. 球
balloon | [bə'luːn] |n. 气球
basketball | ['bɑːskɪtbɔːl] |n. 篮球
bean | [biːn] |n. 豆
beanie | [ˈbiːni] |n. 无檐小便帽
bear | [beəʳ] |n. 熊
beautiful | ['bjuːtɪfʊl] |adj. 1.美的，美丽的，漂亮的 2.出色的，令人愉悦的
bed | [bed] |n. 床
bedroom | ['bedruːm] |n. 卧室
bee | [biː] |n. 1.蜜蜂 2.忙碌的人
before | [bɪ'fɔːʳ] |adv. 1.在前 2.较早
begin | [bɪ'ɡɪn] |vi. 开始
behind | [bɪ'haɪnd] |adv. 1.后面，向后面 2.迟，慢，落后
beside | [bɪ'saɪd] |prep. 1.在…旁，邻近 2.与…相比较
between | [bɪ'twiːn] |prep. 1.在…之间 2.介于...之间
bicycle | ['baɪsɪkl] |n. 自行车
big | [bɪɡ] | adj. 大的
bike | [baɪk] | n. 自行车
bird | [bɜːd] | n. 鸟
birthday | ['bɜːθdeɪ] | n. 生日
black | [blæk] | n. 黑色
blackboard | ['blækbɔːd] | n. 黑板
blue | [bluː] | n. 蓝色 adj. 忧郁的
body | ['bɒdɪ] | n. 身体，躯体
book | [bʊk] | n. 1.书，书籍 2.本子，簿子
both | [bəʊθ] | pron. 两个(都)
bottle | ['bɒtl] | n. 瓶子
bowknot | [ˈbauˌnɔt] | n. 蝴蝶结
box | [bɒks] | n. 箱，盒
boy | [bɔɪ] |n. 男孩
bread | [bred] | n. 面包
breakfast | ['brekfəst] |n. 早餐
bring | [brɪŋ] | vt. 1.带来，拿来 2.导致，招致
brother | ['brʌðəʳ] |n. 兄弟
brown | [braʊn] | adj. 棕色的 n. 棕色
bus | [bʌs] |n. 公共汽车
busy | ['bɪzɪ] |adj. 忙的
but | [bʌt] |conj. 但是 prep. 除了...
butter | ['bʌtəʳ] |n. 黄油
butterfly | ['bʌtəflaɪ] | n. 蝴蝶
buy | [baɪ] | vt. 购买
buzz | [bʌz] | vi. 发出嗡嗡声
by | [baɪ] | prep. 1.由，被 2.乘，通过
cake | [keɪk] | n. 饼,糕；蛋糕
call | [kɔːl] | vt. 1.喊，叫；大声说出 2. 打电话
can | [kæn] | vt. 能，能够
cannot | ['kænɒt]-nət] | vt. 不能，不能够
cap | [kæp] |n. 帽子
card | [kɑːd] | n. 卡片
carrot | ['kærət] | n. 胡萝卜
case | [keɪs] | n. 1.容器（盒子） 2. 情况 3.事例
cat | [kæt] | n. 猫；猫科动物
caterpillar | ['kætəˌpɪl(ə)ʳ] | n. 1.毛毛虫
chair | [tʃeəʳ] | n. 1.椅子 2.主持人
cherry | ['tʃerɪ] | n. 樱桃
chicken | ['tʃɪkɪn] | n. 1.小鸡；鸡 2.鸡肉
child | [tʃaɪld] | n. 1.儿童，小孩 2.婴儿，胎儿
Chinese | [tʃaɪ'niːz] | adj. 1.中国的；中国人的 2.汉语的
cicada | [sɪ'kɑːdə] | n. 蝉，知了
class | [klɑːs] |n. 班级
clean | [kliːn] |v. 打扫，收拾，整理 adj. 干净的
close | [kləʊs] |vt. 关闭
clothes | [kləʊðz] | n. 衣服，服装
cloud | [klaʊd] |n. 云
cloudy | ['klaʊdɪ] | adj. 多云的
coat | [kəʊt] | n. 外套，上衣
cold | [kəʊld] |adj. 冷的 n. 冷
colour | ['kʌləʳ] | n. 1.颜色 2.色彩；彩色
colourful | ['kʌl(ə)fʊl] | adj. 1.颜色鲜艳的；五彩斑斓的 2.生动的
come | [kʌm] | vi. 1.来；来到
cook | [kʊk] |v. 烹饪
cool | [kuːl] |adj. 酷的 n. 1.冷静，镇定 2.凉爽
count | [kaʊnt] | n. 计数；数数
cow | [kaʊ] |n. 奶牛
crayon | ['kreɪən] | n. 彩色蜡笔(或粉笔、炭笔)
cucumber | ['kjuːkʌmbəʳ] | n. 黄瓜
cupboard | ['kʌbəd] | n. 碗柜；橱柜
cute | [kjuːt] | adj. 1.可爱的，招人喜欢的 2.精巧的；奇妙的
dance | [dɑːns] | vt. 1.跳(舞) 2.使舞动，使轻快移动 vi. 1.跳舞 2.跳跃；雀跃
day | [deɪ] | n. 1.白天；昼 2.一天,一日
desk | [desk] | n. 书桌；课桌
do | [duː] |v. 做，干
doctor | ['dɒktəʳ] | n. 医生
